DJA	NDX	NYA	OEX
0.982726617	0.955021673	0.990425815	0.970969147
0.994434992	0.955498724	0.982542892	0.977924688
1.028600805	1.043592614	0.991136989	0.984407378
0.978380248	1.002761501	1.002453156	1.002829733
1.003577194	1.076684942	1.034475053	1.025275292
0.978281762	1.00173457	0.97187842	0.986339761
0.996846295	0.98057711	0.979037312	0.988209273
0.98987409	1.024051671	1.005699321	0.996470507
0.976272515	0.961683472	0.956504308	0.984847176
0.99449157	1.016630197	0.985985208	1.008
0.961625419	0.944169417	0.972249545	0.968984962
1.017156341	1.014235236	1.026887767	1.018069476
0.976924838	0.987544173	0.982065982	0.995553987
1.010696486	1.014813082	0.997407982	1.014726731
0.953276725	0.930460894	0.965374913	0.974641541
1.005484955	1.03288205	0.988438273	1.011503933
0.976442135	0.921018002	0.982337515	0.979184751
1.031461945	1.043454698	1.022717285	1.016445345
1.010346289	1.019217149	1.021443928	1.022391115
0.971564718	1.005698138	0.968393289	0.983409063
1.025561884	1.066785994	1.022599978	1.018428693
0.966994717	0.969391532	0.96629821	0.969024318
0.959929836	0.946051543	0.955320795	0.969827973
0.970277524	0.950239453	0.981702479	0.989290669
0.98989037	0.968812379	0.982340094	1.007310324
0.992928275	1.023168308	0.992087348	0.997958312
1.021991657	1.083012589	1.031209639	1.030130005
0.963414436	0.966755459	0.982088418	0.984220124
0.995300438	0.955763801	0.993014348	0.992203695
1.013102779	1.026438603	1.024791053	1.018950599
1.010584546	1.02222593	1.014139893	1.024331827
0.98944011	1.015438186	0.978970081	0.992507174
1.005518919	0.983148927	0.986624703	0.982991558
0.945710239	0.970250422	0.939514233	0.945459167
1.001895808	0.994481306	0.981226803	0.998540538
0.94658521	0.92043858	0.947142227	0.958806108
1.001393353	1.028764286	1.002857887	1.009627728
0.980464547	0.952087683	0.982125947	0.991874603
0.974939923	0.941070058	0.990318385	0.982214032
0.994996565	0.996837787	0.987321009	0.9853382
0.952940304	0.923340207	0.944105001	0.963431291
0.924342226	0.920980779	0.921787916	0.92180955
0.974533859	0.991243398	0.997010704	0.991214783
1.035357208	0.973567453	1.032359571	1.016950348
1.042472127	1.00134276	1.026972403	1.028157292
1.03454795	1.133821632	1.04737	1.076672288
0.952108457	0.886605143	0.954833535	0.942257492
0.945625689	0.841320209	0.941931716	0.902593085
1.117980779	1.131960794	1.112495648	1.131491713
1.01073134	1.020925741	0.99156458	0.995811632
1.09764889	1.092828188	1.084865877	1.068102077
1.053685454	1.149256712	1.070740206	1.079735575
1.009591638	1.056879686	1.005956651	1.006046863
1.04355572	1.137611877	1.045718982	1.08540571
0.95817684	0.935580014	0.963641891	0.973246578
0.992410563	1.140484984	0.99982674	1.01970093
0.998567177	1.017340034	1.019534405	1.018814626
0.970707724	1.012047811	0.982145119	1.000889984
0.935052769	0.855098524	0.943153024	0.930967852
0.990213967	0.856086695	0.995424842	0.979189244
1.157619986	1.257906314	1.080905395	1.083098856
1.045473729	1.14554671	1.049503995	1.077519917
0.998951066	1.087062918	1.007811925	1.015848013
1.050732639	0.983444342	1.032023084	1.022483466
0.983907649	1.030701876	0.989339484	0.998823948
0.941804527	0.848044633	0.93829888	0.916587913
1.049415517	1.212979501	1.052512166	1.082957254
1.026357912	1.358786786	1.058538955	1.116261647
1.006611405	0.903085229	0.989799277	0.959801454
0.95405126	1.070393304	0.958757885	1.015776823
1.032835519	1.309494363	1.057545141	1.076941831
0.970897189	1.087837797	0.995525622	1.01185197
1.023903893	1.141986943	1.017328953	1.088940947
0.948914251	0.885167464	0.94974272	0.945891396
0.969852228	1.042788868	1.003590277	1.0097235
1.022475291	0.88317361	1.001041457	0.963682379
1.016235783	1.135105052	1.000869917	1.026091524
0.991453514	1.165552664	1.005496853	1.043049832
0.925978936	0.970235388	0.914991509	0.906240031
